symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JNJ,2019-02-26 00:00:00+00:00,136.11,136.96,136.05,136.44,5106878,119.677261698,120.4246400864,119.6245055765,119.9674203664,5106878,0.0,1.0
JNJ,2019-02-27 00:00:00+00:00,135.87,136.25,135.39,135.52,4378066,119.4662372119,119.8003593149,119.0441882396,119.1584931696,4378066,0.0,1.0
JNJ,2019-02-28 00:00:00+00:00,136.64,137.95,135.69,135.95,10133160,120.1432741049,121.2951160917,119.3079688473,119.5365787072,10133160,0.0,1.0
JNJ,2019-03-01 00:00:00+00:00,138.35,138.61,137.01,137.22,5641586,121.6468235686,121.8754334285,120.468603521,120.6532499463,5641586,0.0,1.0
JNJ,2019-03-04 00:00:00+00:00,138.48,139.41,137.51,138.85,8378067,121.7611284985,122.5788483823,120.9082378671,122.0864579147,8378067,0.0,1.0
JNJ,2019-03-05 00:00:00+00:00,138.77,139.14,138.36,138.81,6568870,122.0161164193,122.3414458354,121.6556162555,122.051287167,6568870,0.0,1.0
JNJ,2019-03-06 00:00:00+00:00,139.09,139.65,138.6,139.47,6236946,122.2974824008,122.7898728684,121.8666407416,122.6316045038,6236946,0.0,1.0
JNJ,2019-03-07 00:00:00+00:00,138.24,139.12,137.7,138.53,6100380,121.5501040124,122.3238604616,121.0752989186,121.8050919332,6100380,0.0,1.0
JNJ,2019-03-08 00:00:00+00:00,138.06,139.3,136.42,138.09,7046830,121.3918356478,122.4821288262,119.9498349926,121.4182137086,7046830,0.0,1.0
JNJ,2019-03-11 00:00:00+00:00,138.56,139.03,137.52,138.11,6150442,121.8314699939,122.2447262793,120.917030554,121.4357990824,6150442,0.0,1.0
JNJ,2019-03-12 00:00:00+00:00,139.18,140.0,138.5,138.65,5553235,122.3766165831,123.0976169107,121.7787138724,121.9106041762,5553235,0.0,1.0
JNJ,2019-03-13 00:00:00+00:00,139.41,139.84,139.02,139.59,6446942,122.5788483823,122.95693392,122.2359335923,122.7371167469,6446942,0.0,1.0
JNJ,2019-03-14 00:00:00+00:00,138.02,138.8,137.94,138.34,8493603,121.3566649001,122.0424944801,121.2863234047,121.6380308816,8493603,0.0,1.0
JNJ,2019-03-15 00:00:00+00:00,137.6,138.26,136.83,138.0,11922855,120.9873720494,121.5676893863,120.3103351564,121.3390795263,11922855,0.0,1.0
JNJ,2019-03-18 00:00:00+00:00,137.17,137.78,136.72,137.65,7369629,120.6092865117,121.145640414,120.2136156002,121.031335484,7369629,0.0,1.0
JNJ,2019-03-19 00:00:00+00:00,138.44,138.82,137.47,137.61,5882503,121.7259577509,122.0600798539,120.8730671194,120.9961647363,5882503,0.0,1.0
JNJ,2019-03-20 00:00:00+00:00,137.29,138.51,136.65,138.33,5475863,120.7147987548,121.7875065593,120.1520667918,121.6292381947,5475863,0.0,1.0
JNJ,2019-03-21 00:00:00+00:00,138.1,138.78,136.95,137.0,5765119,121.4270063955,122.0249091062,120.4158473994,120.4598108341,5765119,0.0,1.0
JNJ,2019-03-22 00:00:00+00:00,136.91,138.39,136.86,137.75,6528782,120.3806766518,121.6819943162,120.3367132171,121.1192623532,6528782,0.0,1.0
JNJ,2019-03-25 00:00:00+00:00,136.61,137.01,135.74,136.91,4500368,120.1168960441,120.468603521,119.3519322819,120.3806766518,4500368,0.0,1.0
JNJ,2019-03-26 00:00:00+00:00,138.57,139.27,136.93,136.93,4758846,121.8402626808,122.4557507654,120.3982620256,120.3982620256,4758846,0.0,1.0
JNJ,2019-03-27 00:00:00+00:00,138.7,139.48,138.07,138.59,6764854,121.9545676108,122.6403971908,121.4006283347,121.8578480547,6764854,0.0,1.0
JNJ,2019-03-28 00:00:00+00:00,138.88,139.46,138.71,139.06,4602073,122.1128359754,122.6228118169,121.9633602978,122.27110434,4602073,0.0,1.0
JNJ,2019-03-29 00:00:00+00:00,139.79,139.88,138.88,139.28,7168449,122.9129704854,122.9921046676,122.1128359754,122.4645434523,7168449,0.0,1.0
JNJ,2019-04-01 00:00:00+00:00,138.98,140.29,138.74,139.99,5885401,122.2007628447,123.3526048315,121.9897383585,123.0888242238,5885401,0.0,1.0
